,Forecast
2021-01-06,104.99978607599519
2021-01-07,105.99922994253645
2021-01-08,106.99833171675611
2021-01-09,107.99709151574649
2021-01-10,108.99550945655976
2021-01-11,109.99358565620805
2021-01-12,110.99132023166345
2021-01-13,111.988713299858
2021-01-14,112.98576497768373
2021-01-15,113.98247538199263
2021-01-16,114.97884462959672
2021-01-17,115.97487283726804
2021-01-18,116.97056012173864
2021-01-19,117.96590659970063
2021-01-20,118.96091238780618
2021-01-21,119.9555776026675
2021-01-22,120.94990236085694
2021-01-23,121.94388677890691
2021-01-24,122.93753097330995
2021-01-25,123.9308350605187
2021-01-26,124.92379915694599
2021-01-27,125.91642337896475
2021-01-28,126.90870784290813
2021-01-29,127.9006526650694
2021-01-30,128.8922579617021
2021-01-31,129.88352384901987
2021-02-01,130.8744504431967
2021-02-02,131.86503786036675
2021-02-03,132.85528621662442
2021-02-04,133.84519562802436
